AreaDescripcion;Ubicacion;Fabricante;ArticuloCodigo;ArticuloDescripcion;Lote;FechaVencimiento;Días al vencimiento ;Cantidad;ContenedorNumero;EstadoDescripcion;Bultos;UnidadesSueltas;Critico
PREPARACION;PRE-001-001-001;;80-194         ;80-194 - DUCHA EMB. C/TRANSF. CR C.CERAM LARA;;27/7/2031;1804;4;CARRO13;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;80-205         ;80-205 - DUCHA EMB. C/TRANSF. MONOC STEEL;;11/8/2031;1819;2;CARRO42;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;8030;8030 - PERCHA LINEA 8000;;29/7/2031;1806;30;CARRO96;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;80-329         ;80-329 - DUCHA DE EMB 3 FUNCIONES CASTILLA;;21/12/2031;1951;20;CARRO24;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;8040;8040 - PORTA ROLLO LINEA 8000;;27/8/2031;1835;30;CARRO96;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;8060;8060 - PORTA CEPILLO LINEA 8000;;27/7/2031;1804;8;CARRO96;Activo;0;8;NO
PREPARACION;PRE-001-001-001;;81-023         ;81-023 - DUCHA EMB. S/TRANSF. BL/CR ARES PLUS;;29/7/2031;1806;5;CARRO26;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;81-100G        ;81-100G - DUCHA EMB S/TRANSF GOLD C.CERAM FABRIC;;13/11/2031;1913;10;CARRO24;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;81-100N        ;DUCHA EMB. S/TRANSF. BLACK C.CERAM FABRIC                             ;;3/1/2032;1964;10;CARRO24;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;83-133         ;83-133 - DUCHA EXT. C/TRANSF. MONOCOMANDO LUGO;;30/7/2031;1807;10;CARRO69;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;83-203         ;83-203 - DUCHA EXT C/TRANSF. MONOCOMANDO ADRA;;29/7/2031;1806;9;CARRO42;Activo;0;9;NO
PREPARACION;PRE-001-001-001;;85-153         ;85-153 - DUCHA EMB C/TRANSF Y DUCHADOR CR C.CERAM CASTILLA;;16/11/2031;1916;20;CARRO24;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;90-013         ;90-013 - PACK GRIF.CR SEVILLA (Lavatorio-Bide-Ducha c/t);;20/12/2031;1950;4;CARRO96;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;90-025         ;90-025 - PACK GRIF BL BASICA PLUS (Lavatorio-Bide-Ducha c/t;;27/7/2031;1804;8;CARRO26;Activo;0;8;NO
PREPARACION;PRE-001-001-001;;90-057         ;90-057 - PACK GRIF.VERIN PLUS (Lavatorio-Bide-Ducha c/t);;6/8/2031;1814;8;CARRO16;Activo;0;8;NO
PREPARACION;PRE-001-001-001;;90-166         ;90-166 - PACK GRIF. ADRA PLUS (Lav-Bide-Ducha c/t Plus);;8/11/2031;1908;40;CARRO24;Activo;0;40;NO
PREPARACION;PRE-001-001-001;;90-166N        ;90-166N - PACK GRIF. ADRA BLACK PLUS  (Lav-Bide-Ducha c/t Plus);;10/12/2031;1940;50;CARRO24;Activo;0;50;NO
PREPARACION;PRE-001-001-001;;A019           ;SOPORTE P/DUCHADOR CROMO C/BLISTER                                    ;;28/7/2031;1805;15;CARRO26;Activo;0;15;NO
PREPARACION;PRE-001-001-001;;A813           ;A813 - DUCHA C/BRAZO Y CAMPANA CR 3 FUNCIONES;;27/7/2031;1804;28;CARRO30;Activo;0;28;NO
PREPARACION;PRE-001-001-001;;A814           ;A814 - DUCHA C/BRAZO Y CAMPANA CR;;13/8/2031;1821;20;CARRO30;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;A815           ;"A815 - DUCHA 8"" C/BRAZO Y CAMPANA CR";;28/7/2031;1805;6;CARRO30;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;A816           ;"A816 - DUCHA 6"" C/BRAZO Y CAMPANA CR";;27/7/2031;1804;10;CARRO8;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;A816           ;"A816 - DUCHA 6"" C/BRAZO Y CAMPANA CR";;27/7/2031;1804;4;CARRO30;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;A819           ;A819 - DUCHADOR ANTICALCAREO C/FLEXIBLE Y SOPORTE;;27/7/2031;1804;12;CARRO30;Activo;0;12;NO
PREPARACION;PRE-001-001-001;;A843           ;A843 - DUCHADOR ANTICALCAREO 5F C/BARRAL,SOP,FLEX,JABONER;;28/7/2031;1805;10;CARRO30;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;A996           ;A996 - DUCHA 8' CUADRADA CR C/BRAZO Y CAMPANA;;28/7/2031;1805;30;CARRO24;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;A996           ;A996 - DUCHA 8' CUADRADA CR C/BRAZO Y CAMPANA;;29/7/2031;1806;32;CARRO96;Activo;0;32;NO
PREPARACION;PRE-001-001-001;;AB-001         ;AB-001 - AGARRADERA ACERO INOX CROMADO 30 CM SAFE;;28/7/2031;1805;10;CARRO13;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;AB-002         ;AB-002 - AGARRADERA ACERO INOX CROMADO 40 CM SAFE;;28/7/2031;1805;5;CARRO13;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;AB-003         ;AB-003 - AGARRADERA ACERO INOX CROMADO 50 CM SAFE;;27/7/2031;1804;5;CARRO13;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;BCH01          ;BCH01 - BACHA DE APOYAR CIRCULAR 320x145;;28/7/2031;1805;6;CARRO13;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;BCH07          ;BCH07 - BACHA DE APOYAR OVALADA 400x330x150;;30/7/2031;1807;14;CARRO16;Activo;0;14;NO
PREPARACION;PRE-001-001-001;;BCH18          ;BCH18 - BACHA DE APOYAR SIMIL MARMOL 460x320x140;;4/10/2031;1873;14;CARRO42;Activo;0;14;NO
PREPARACION;PRE-001-001-001;;BCH19          ;BACHA DE APOYAR BLANCA 365x235x120                                    ;;28/7/2031;1805;20;CARRO24;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;BID102-1       ;BIDE 1 AGUJERO BLANCO LINEA LOFT                                      ;;19/11/2031;1919;4;CARRO40;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;BID102-1       ;BIDE 1 AGUJERO BLANCO LINEA LOFT                                      ;;19/11/2031;1919;2;CARRO37;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;BID102-3       ;BIDE 3 AGUJEROS BLANCO LINEA LOFT                                     ;;13/8/2031;1821;8;CARRO40;Activo;0;8;NO
PREPARACION;PRE-001-001-001;;BID103-3       ;BIDE 3 AGUJEROS BLANCO LINEA URBAN                                    ;;30/7/2031;1807;2;CARRO6;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;INO102-1       ;INODORO BLANCO C/ASIENTO LINEA LOFT                                   ;;16/8/2031;1824;1;CARRO6;Activo;0;1;NO
PREPARACION;PRE-001-001-001;;INO102-1       ;INODORO BLANCO C/ASIENTO LINEA LOFT                                   ;;16/8/2031;1824;10;CARRO40;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;INO102-1       ;INODORO BLANCO C/ASIENTO LINEA LOFT                                   ;;16/8/2031;1824;2;CARRO37;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;INO102-2       ;DEPOSITO C/DESCARGA DUAL BLANCO LINEA LOFT                            ;;20/11/2031;1920;10;CARRO40;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;INO102-2       ;DEPOSITO C/DESCARGA DUAL BLANCO LINEA LOFT                            ;;20/11/2031;1920;2;CARRO37;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;INO102-2       ;DEPOSITO C/DESCARGA DUAL BLANCO LINEA LOFT                            ;;20/11/2031;1920;1;CARRO6;Activo;0;1;NO
PREPARACION;PRE-001-001-001;;INO103-1       ;INODORO BLANCO C/ASIENTO LINEA URBAN                                  ;;16/8/2031;1824;2;CARRO6;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;INO103-2       ;DEPOSITO C/DESCARGA DUAL BLANCO LINEA URBAN                           ;;16/8/2031;1824;2;CARRO6;Activo;0;2;NO
PREPARACION;PRE-001-001-001;;LG02C20        ;MONOCOMANDO COCINA CR GINEBRA                                         ;;29/7/2031;1806;6;CARRO52;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;LG02C20        ;MONOCOMANDO COCINA CR GINEBRA                                         ;;29/7/2031;1806;18;CARRO65;Activo;0;18;NO
PREPARACION;PRE-001-001-001;;LG02N20        ;MONOCOMANDO COCINA BLACK GINEBRA                                      ;;30/7/2031;1807;18;CARRO65;Activo;0;18;NO
PREPARACION;PRE-001-001-001;;LG02N20        ;MONOCOMANDO COCINA BLACK GINEBRA                                      ;;30/7/2031;1807;6;CARRO52;Activo;0;6;NO
